0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,11
0,1,12
0,1,13
0,1,17
0,1,18
0,1,19
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,11
0,2,12
0,2,13
0,2,15
0,2,16
0,2,19
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,11
0,3,12
0,3,13
0,3,14
0,3,16
0,3,18
0,4,5
0,4,6
0,4,7
0,4,8
0,4,11
0,4,14
0,4,15
0,4,16
0,4,17
0,4,18
0,4,19
0,5,6
0,5,7
0,5,8
0,5,11
0,5,12
0,5,13
0,5,17
0,5,18
0,5,19
0,6,7
0,6,8
0,6,11
0,6,12
0,6,13
0,6,15
0,6,16
0,6,19
0,7,8
0,7,11
0,7,13
0,7,16
0,7,18
0,8,11
0,8,12
0,8,14
0,8,15
0,8,17
0,11,12
0,11,13
0,12,14
0,12,15
0,12,16
0,12,17
0,12,18
0,13,14
0,13,15
0,13,16
0,13,17
0,13,18
0,14,19
0,15,18
1,2,3
1,2,4
1,2,5
1,2,7
1,2,8
1,2,11
1,2,12
1,2,13
1,2,16
1,2,19
1,3,4
1,3,5
1,3,6
1,3,8
1,3,10
1,3,11
1,3,12
1,3,13
1,3,16
1,3,18
1,4,5
1,4,6
1,4,7
1,4,8
1,4,10
1,4,11
1,4,16
1,4,17
1,4,18
1,4,19
1,5,8
1,5,10
1,5,11
1,5,12
1,5,13
1,5,17
1,5,18
1,5,19
1,6,8
1,6,10
1,6,11
1,6,12
1,6,13
1,6,19
1,7,8
1,7,10
1,7,11
1,7,13
1,7,18
1,8,10
1,8,11
1,8,12
1,8,17
1,10,11
1,10,12
1,10,13
1,10,17
1,10,19
1,11,12
1,11,13
1,11,17
1,11,19
1,12,16
1,12,17
1,12,18
1,13,16
1,13,17
1,13,18
2,3,4
2,3,5
2,3,6
2,3,8
2,3,9
2,3,11
2,3,12
2,3,13
2,3,16
2,3,18
2,4,5
2,4,6
2,4,7
2,4,8
2,4,9
2,4,11
2,4,15
2,4,16
2,4,18
2,4,19
2,5,7
2,5,8
2,5,9
2,5,11
2,5,12
2,5,13
2,5,18
2,5,19
2,6,8
2,6,11
2,6,12
2,6,13
2,6,19
2,7,8
2,7,9
2,7,11
2,7,13
2,7,16
2,8,9
2,8,11
2,8,12
2,8,15
2,9,11
2,9,12
2,9,13
2,9,19
2,11,12
2,11,13
2,11,15
2,11,19
2,12,15
2,12,16
2,12,18
2,13,15
2,13,16
2,13,18
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,10
3,4,11
3,4,14
3,4,16
3,4,18
3,4,19
3,5,6
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,18
3,5,19
3,6,8
3,6,9
3,6,10
3,6,11
3,6,12
3,6,13
3,6,16
3,6,19
3,7,8
3,7,9
3,7,10
3,7,11
3,7,13
3,8,9
3,8,10
3,8,11
3,8,12
3,8,14
3,9,11
3,9,12
3,9,13
3,9,18
3,10,11
3,10,12
3,10,13
3,10,16
3,11,12
3,11,13
3,12,14
3,12,16
3,12,18
3,13,14
3,13,16
3,13,18
4,5,6
4,5,7
4,5,8
4,5,9
4,5,10
4,5,11
4,5,17
4,5,18
4,5,19
4,6,7
4,6,8
4,6,9
4,6,10
4,6,11
4,6,15
4,6,16
4,6,19
4,7,8
4,7,9
4,7,10
4,7,11
4,7,16
4,7,18
4,8,9
4,8,10
4,8,11
4,8,14
4,8,15
4,8,17
4,9,11
4,9,15
4,9,17
4,9,18
4,9,19
4,10,11
4,10,15
4,10,16
4,10,17
4,10,19
4,11,15
4,11,17
4,11,19
4,14,19
4,15,18
5,6,8
5,6,11
5,6,12
5,6,13
5,6,19
5,7,8
5,7,9
5,7,10
5,7,11
5,7,13
5,7,18
5,8,9
5,8,10
5,8,12
5,8,17
5,9,12
5,9,13
5,9,17
5,9,18
5,9,19
5,10,12
5,10,13
5,10,17
5,10,19
5,11,12
5,11,13
5,11,17
5,11,19
5,12,17
5,12,18
5,13,17
5,13,18
6,7,8
6,7,9
6,7,10
6,7,11
6,7,13
6,8,9
6,8,10
6,8,12
6,8,15
6,9,12
6,9,13
6,9,19
6,10,12
6,10,13
6,10,19
6,11,12
6,11,13
6,11,15
6,11,19
6,12,16
6,13,15
6,13,16
7,8,9
7,8,10
7,8,11
7,9,11
7,9,13
7,9,18
7,10,11
7,10,13
7,11,13
8,9,12
8,9,17
8,10,12
8,10,15
8,11,12
8,12,14
9,11,12
9,11,13
9,12,15
9,12,17
9,12,18
9,13,15
9,13,17
9,13,18
10,11,12
10,11,13
10,12,15
10,12,16
10,12,17
10,13,15
10,13,16
10,13,17
11,12,15
11,12,17
11,13,15
11,13,17
