0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,13
0,1,14
0,1,18
0,1,19
0,1,20
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,13
0,2,14
0,2,16
0,2,17
0,2,20
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,13
0,3,14
0,3,15
0,3,17
0,3,19
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,13
0,4,14
0,4,15
0,4,16
0,4,18
0,5,6
0,5,7
0,5,8
0,5,9
0,5,15
0,5,16
0,5,17
0,5,18
0,5,19
0,5,20
0,6,7
0,6,8
0,6,9
0,6,13
0,6,14
0,6,18
0,6,19
0,6,20
0,7,8
0,7,9
0,7,13
0,7,14
0,7,16
0,7,17
0,7,20
0,8,9
0,8,14
0,8,17
0,8,19
0,9,13
0,13,15
0,13,16
0,13,17
0,13,18
0,13,19
0,14,15
0,14,16
0,14,17
0,14,18
0,14,19
0,15,20
0,16,19
1,2,3
1,2,4
1,2,5
1,2,6
1,2,8
1,2,9
1,2,12
1,2,13
1,2,14
1,2,20
1,3,4
1,3,5
1,3,6
1,3,7
1,3,9
1,3,11
1,3,12
1,3,13
1,3,14
1,3,19
1,4,5
1,4,6
1,4,7
1,4,8
1,4,11
1,4,13
1,4,14
1,4,18
1,5,6
1,5,7
1,5,8
1,5,9
1,5,11
1,5,12
1,5,18
1,5,19
1,5,20
1,6,11
1,6,12
1,6,13
1,6,14
1,6,18
1,6,19
1,6,20
1,7,11
1,7,12
1,7,13
1,7,14
1,7,20
1,8,11
1,8,12
1,8,14
1,8,19
1,9,11
1,9,12
1,9,13
1,11,13
1,11,14
1,11,18
1,11,20
1,12,13
1,12,14
1,12,18
1,12,20
1,13,18
1,13,19
1,14,18
1,14,19
2,3,4
2,3,5
2,3,6
2,3,7
2,3,9
2,3,10
2,3,12
2,3,13
2,3,14
2,3,17
2,4,5
2,4,6
2,4,7
2,4,8
2,4,10
2,4,13
2,4,14
2,4,16
2,5,6
2,5,7
2,5,8
2,5,9
2,5,10
2,5,12
2,5,16
2,5,17
2,5,20
2,6,8
2,6,9
2,6,10
2,6,12
2,6,13
2,6,14
2,6,20
2,7,12
2,7,13
2,7,14
2,7,20
2,8,10
2,8,12
2,8,14
2,8,17
2,9,10
2,9,12
2,9,13
2,10,13
2,10,14
2,10,20
2,12,13
2,12,14
2,12,16
2,12,20
2,13,16
2,13,17
2,14,16
2,14,17
3,4,5
3,4,6
3,4,7
3,4,8
3,4,10
3,4,11
3,4,13
3,4,15
3,5,6
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,15
3,5,17
3,5,19
3,6,7
3,6,9
3,6,10
3,6,11
3,6,12
3,6,13
3,6,14
3,6,19
3,7,9
3,7,10
3,7,11
3,7,12
3,7,13
3,7,14
3,7,17
3,8,10
3,8,11
3,8,12
3,8,14
3,9,10
3,9,11
3,9,12
3,10,13
3,10,14
3,10,19
3,11,13
3,11,14
3,11,17
3,12,13
3,12,14
3,13,15
3,13,17
3,13,19
3,14,15
3,14,17
3,14,19
4,5,6
4,5,7
4,5,8
4,5,9
4,5,10
4,5,11
4,5,15
4,5,16
4,5,18
4,6,7
4,6,8
4,6,10
4,6,11
4,6,13
4,6,14
4,6,18
4,7,8
4,7,10
4,7,11
4,7,13
4,7,14
4,7,16
4,8,10
4,8,11
4,10,13
4,10,14
4,10,18
4,11,13
4,11,14
4,11,16
4,13,15
4,14,15
5,6,7
5,6,8
5,6,9
5,6,10
5,6,11
5,6,12
5,6,18
5,6,19
5,6,20
5,7,8
5,7,9
5,7,10
5,7,11
5,7,12
5,7,16
5,7,17
5,7,20
5,8,9
5,8,10
5,8,11
5,8,12
5,8,17
5,8,19
5,9,10
5,9,11
5,9,12
5,10,16
5,10,18
5,10,19
5,10,20
5,11,16
5,11,17
5,11,18
5,11,20
5,12,16
5,12,18
5,12,20
5,15,20
5,16,19
6,7,12
6,7,13
6,7,14
6,7,20
6,8,10
6,8,11
6,8,12
6,8,19
6,9,11
6,10,13
6,10,14
6,10,18
6,10,20
6,11,13
6,11,14
6,11,18
6,11,20
6,12,13
6,12,14
6,12,18
6,12,20
6,13,18
6,13,19
6,14,18
6,14,19
7,8,10
7,8,11
7,8,12
7,10,13
7,10,14
7,10,20
7,11,13
7,11,14
7,11,20
7,12,13
7,12,14
7,12,16
7,12,20
7,13,17
7,14,16
8,9,10
8,9,11
8,9,12
8,10,14
8,10,19
8,11,14
8,12,14
9,10,13
9,11,13
9,12,13
10,13,16
10,13,18
10,13,19
10,14,16
10,14,18
10,14,19
11,13,16
11,13,17
11,13,18
11,14,16
11,14,17
11,14,18
12,13,16
12,13,18
12,14,16
12,14,18
