0,1,2
0,1,3
0,1,4
0,1,5
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,1,17
0,1,18
0,1,19
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,10
0,2,11
0,2,15
0,2,16
0,2,19
0,3,4
0,3,5
0,3,6
0,3,8
0,3,9
0,3,10
0,3,11
0,3,16
0,3,18
0,4,5
0,4,6
0,4,7
0,4,9
0,4,10
0,4,11
0,4,15
0,4,17
0,5,9
0,5,10
0,5,11
0,5,15
0,5,16
0,5,17
0,5,18
0,5,19
0,6,9
0,6,10
0,6,11
0,6,17
0,6,18
0,6,19
0,7,9
0,7,10
0,7,11
0,7,16
0,7,17
0,7,18
0,8,9
0,8,10
0,8,11
0,8,17
0,8,18
0,9,10
0,9,11
0,9,15
0,9,16
0,9,19
0,10,11
0,10,15
0,10,16
0,10,18
0,11,15
0,11,16
0,15,17
0,15,18
0,16,17
0,16,18
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,13
1,2,14
1,2,19
1,3,4
1,3,5
1,3,6
1,3,8
1,3,9
1,3,10
1,3,11
1,3,12
1,3,14
1,3,18
1,4,5
1,4,6
1,4,7
1,4,9
1,4,10
1,4,11
1,4,12
1,4,13
1,4,17
1,5,7
1,5,8
1,5,9
1,5,10
1,5,11
1,5,12
1,5,17
1,5,18
1,5,19
1,6,9
1,6,10
1,6,11
1,6,12
1,6,17
1,6,18
1,6,19
1,7,9
1,7,10
1,7,11
1,7,12
1,7,14
1,7,17
1,7,18
1,8,9
1,8,10
1,8,11
1,8,12
1,8,17
1,8,18
1,9,10
1,9,11
1,9,12
1,9,13
1,9,14
1,9,19
1,10,11
1,10,12
1,10,13
1,10,14
1,10,18
1,11,12
1,11,13
1,11,14
1,12,19
1,13,18
2,3,4
2,3,5
2,3,6
2,3,7
2,3,8
2,3,9
2,3,11
2,3,14
2,3,16
2,4,5
2,4,6
2,4,7
2,4,8
2,4,9
2,4,10
2,4,13
2,4,15
2,5,6
2,5,7
2,5,8
2,5,9
2,5,10
2,5,11
2,5,15
2,5,16
2,5,19
2,6,7
2,6,8
2,6,9
2,6,10
2,6,11
2,6,13
2,6,14
2,6,19
2,7,8
2,7,9
2,7,10
2,7,11
2,7,14
2,7,16
2,8,9
2,8,10
2,8,11
2,9,13
2,9,14
2,9,15
2,9,16
2,9,19
2,10,13
2,10,14
2,10,15
2,10,16
2,11,13
2,11,14
2,11,15
2,11,16
2,13,15
2,13,16
2,14,15
2,14,16
3,4,5
3,4,6
3,4,7
3,4,9
3,4,12
3,5,6
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,16
3,5,18
3,6,8
3,6,9
3,6,10
3,6,11
3,6,12
3,6,14
3,6,18
3,7,9
3,7,10
3,7,11
3,7,18
3,8,9
3,8,10
3,8,11
3,8,12
3,8,18
3,9,11
3,9,12
3,9,14
3,9,16
3,10,14
3,10,16
3,11,14
3,11,16
3,12,16
3,14,16
3,16,18
4,5,6
4,5,7
4,5,9
4,5,10
4,5,11
4,5,12
4,5,15
4,5,17
4,6,7
4,6,9
4,6,10
4,6,11
4,6,12
4,6,13
4,6,17
4,7,9
4,7,10
4,7,11
4,7,12
4,7,17
4,8,9
4,9,10
4,9,12
4,9,13
4,9,15
4,12,15
5,6,9
5,6,10
5,6,11
5,6,12
5,6,17
5,6,18
5,6,19
5,7,9
5,7,10
5,7,11
5,7,16
5,7,18
5,8,9
5,8,10
5,8,11
5,8,17
5,9,10
5,9,11
5,9,12
5,9,15
5,9,16
5,9,19
5,10,11
5,10,12
5,10,15
5,10,16
5,10,18
5,11,12
5,11,15
5,11,16
5,12,15
5,12,16
5,15,17
5,15,18
5,16,17
5,16,18
6,7,9
6,7,10
6,7,11
6,7,12
6,7,17
6,7,18
6,8,9
6,8,10
6,8,11
6,8,12
6,8,17
6,8,18
6,9,10
6,9,11
6,9,12
6,9,13
6,9,14
6,9,19
6,10,11
6,10,12
6,10,13
6,10,14
6,10,18
6,11,12
6,11,13
6,11,14
6,12,19
6,13,18
7,8,9
7,8,10
7,9,10
7,9,11
7,9,12
7,9,14
7,9,16
7,10,12
7,10,14
7,10,16
7,10,18
7,11,12
7,11,14
7,11,16
7,12,16
7,16,17
7,16,18
8,9,10
8,9,11
8,9,12
9,10,14
9,10,15
9,10,16
9,11,13
9,11,15
9,11,16
9,12,15
9,12,16
9,13,15
9,13,16
9,14,15
9,14,16
10,12,15
10,12,16
10,13,15
10,13,16
10,14,15
10,14,16
11,12,15
11,12,16
11,13,15
11,13,16
11,14,15
13,15,18
