0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,14
0,1,15
0,1,19
0,1,20
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,14
0,2,15
0,2,17
0,2,18
0,2,20
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,14
0,3,15
0,3,16
0,3,18
0,3,19
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,14
0,4,15
0,4,16
0,4,17
0,5,6
0,5,7
0,5,8
0,5,9
0,5,16
0,5,17
0,5,18
0,5,19
0,5,20
0,6,7
0,6,8
0,6,9
0,6,14
0,6,15
0,6,19
0,6,20
0,7,8
0,7,9
0,7,14
0,7,15
0,7,17
0,7,18
0,7,20
0,8,9
0,8,15
0,8,16
0,8,18
0,8,19
0,9,14
0,14,16
0,14,17
0,14,18
0,14,19
0,15,16
0,15,17
0,15,18
0,15,19
0,16,17
0,16,20
0,17,19
0,19,20
1,2,3
1,2,4
1,2,5
1,2,6
1,2,8
1,2,9
1,2,12
1,2,13
1,2,14
1,2,15
1,2,20
1,3,4
1,3,5
1,3,6
1,3,7
1,3,9
1,3,11
1,3,13
1,3,14
1,3,15
1,3,19
1,4,5
1,4,6
1,4,7
1,4,8
1,4,11
1,4,12
1,4,14
1,4,15
1,5,6
1,5,7
1,5,8
1,5,9
1,5,11
1,5,12
1,5,13
1,5,19
1,5,20
1,6,11
1,6,12
1,6,13
1,6,14
1,6,15
1,6,19
1,6,20
1,7,8
1,7,11
1,7,12
1,7,13
1,7,14
1,7,15
1,7,20
1,8,11
1,8,12
1,8,13
1,8,15
1,8,19
1,9,11
1,9,12
1,9,13
1,9,14
1,11,14
1,11,15
1,11,20
1,12,14
1,12,15
1,12,19
1,13,14
1,13,15
1,14,19
1,15,19
1,19,20
2,3,4
2,3,5
2,3,6
2,3,7
2,3,9
2,3,10
2,3,13
2,3,14
2,3,15
2,3,18
2,4,5
2,4,6
2,4,7
2,4,8
2,4,10
2,4,12
2,4,14
2,4,15
2,4,17
2,5,6
2,5,7
2,5,8
2,5,9
2,5,10
2,5,12
2,5,13
2,5,17
2,5,18
2,5,20
2,6,8
2,6,9
2,6,10
2,6,12
2,6,13
2,6,14
2,6,15
2,6,20
2,7,12
2,7,13
2,7,14
2,7,15
2,7,20
2,8,10
2,8,12
2,8,13
2,8,15
2,8,18
2,9,10
2,9,12
2,9,13
2,9,14
2,10,14
2,10,15
2,10,20
2,12,14
2,12,15
2,12,18
2,13,14
2,13,15
2,14,17
2,14,18
2,15,17
2,15,18
3,4,5
3,4,6
3,4,7
3,4,8
3,4,10
3,4,11
3,4,14
3,4,16
3,5,6
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,13
3,5,16
3,5,18
3,5,19
3,6,7
3,6,9
3,6,10
3,6,11
3,6,13
3,6,14
3,6,15
3,6,19
3,7,9
3,7,10
3,7,11
3,7,13
3,7,14
3,7,15
3,7,18
3,8,13
3,8,15
3,9,10
3,9,11
3,9,13
3,10,14
3,10,15
3,10,19
3,11,14
3,11,15
3,11,18
3,13,14
3,13,15
3,14,16
3,14,18
3,14,19
3,15,16
3,15,18
3,15,19
4,5,6
4,5,7
4,5,8
4,5,9
4,5,10
4,5,11
4,5,12
4,5,16
4,5,17
4,6,7
4,6,8
4,6,10
4,6,11
4,6,12
4,6,14
4,6,15
4,7,8
4,7,10
4,7,11
4,7,12
4,7,14
4,7,15
4,7,17
4,8,10
4,8,11
4,8,12
4,8,16
4,10,14
4,10,15
4,11,14
4,11,15
4,11,17
4,12,14
4,12,16
4,14,16
4,15,16
5,6,7
5,6,8
5,6,9
5,6,10
5,6,11
5,6,12
5,6,13
5,6,19
5,6,20
5,7,8
5,7,9
5,7,10
5,7,11
5,7,12
5,7,13
5,7,17
5,7,18
5,7,20
5,8,9
5,8,10
5,8,11
5,8,12
5,8,13
5,8,16
5,8,18
5,8,19
5,9,10
5,9,11
5,9,12
5,9,13
5,10,19
5,10,20
5,11,12
5,11,17
5,11,18
5,11,20
5,12,16
5,12,18
5,12,19
5,16,17
5,16,20
5,17,19
5,19,20
6,7,12
6,7,13
6,7,14
6,7,15
6,7,20
6,8,11
6,8,13
6,8,19
6,9,11
6,9,12
6,10,14
6,10,15
6,11,14
6,11,15
6,11,20
6,12,14
6,12,15
6,12,19
6,13,14
6,13,15
6,14,19
6,15,19
7,8,13
7,9,12
7,10,14
7,10,15
7,10,20
7,11,14
7,11,15
7,12,14
7,12,15
7,12,18
7,13,14
7,13,15
7,14,17
7,14,18
7,15,17
8,10,15
8,10,19
8,11,15
8,12,15
8,15,16
9,10,14
9,11,14
10,14,19
10,15,19
11,12,14
11,12,15
11,14,17
11,14,18
11,15,17
11,15,18
12,14,16
12,15,16
14,16,17
15,16,17
