0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,11
0,1,12
0,1,15
0,1,16
0,1,17
0,2,3
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,11
0,2,12
0,2,13
0,2,14
0,2,17
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,13
0,3,14
0,3,15
0,3,16
0,3,17
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,13
0,4,14
0,4,17
0,5,6
0,5,7
0,5,8
0,5,9
0,5,12
0,5,13
0,5,14
0,5,16
0,6,7
0,6,8
0,6,9
0,6,11
0,6,13
0,6,14
0,6,15
0,7,8
0,7,9
0,7,11
0,7,12
0,7,15
0,7,16
0,7,17
0,8,9
0,8,11
0,8,12
0,8,14
0,8,15
0,8,16
0,9,11
0,9,12
0,9,13
0,9,15
0,9,16
0,11,14
0,11,16
0,13,15
0,13,16
0,14,15
0,14,16
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,11
1,2,12
1,2,17
1,3,4
1,3,5
1,3,6
1,3,7
1,3,8
1,3,9
1,3,13
1,3,14
1,3,15
1,3,16
1,3,17
1,4,5
1,4,6
1,4,7
1,4,8
1,4,9
1,4,11
1,4,12
1,4,13
1,4,14
1,4,17
1,5,6
1,5,7
1,5,8
1,5,9
1,5,10
1,5,12
1,5,13
1,5,14
1,5,16
1,6,7
1,6,8
1,6,9
1,6,10
1,6,11
1,6,13
1,6,14
1,6,15
1,7,8
1,7,9
1,7,10
1,7,11
1,7,12
1,7,15
1,7,16
1,7,17
1,8,9
1,8,10
1,8,11
1,8,12
1,8,14
1,8,15
1,8,16
1,9,10
1,9,11
1,9,12
1,9,13
1,9,15
1,9,16
1,10,17
1,11,14
1,11,16
2,3,5
2,3,6
2,3,7
2,3,8
2,3,9
2,3,13
2,3,14
2,3,15
2,3,16
2,3,17
2,4,5
2,4,6
2,4,7
2,4,8
2,4,9
2,4,13
2,4,14
2,4,17
2,5,6
2,5,7
2,5,8
2,5,9
2,5,12
2,5,13
2,5,14
2,5,16
2,6,7
2,6,8
2,6,9
2,6,11
2,6,13
2,6,14
2,6,15
2,7,8
2,7,9
2,7,11
2,7,12
2,7,15
2,7,16
2,7,17
2,8,9
2,8,11
2,8,12
2,8,14
2,8,15
2,8,16
2,9,11
2,9,12
2,9,13
2,9,15
2,9,16
2,11,13
2,11,14
2,11,16
2,12,13
2,12,14
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,13
3,4,14
3,4,17
3,5,6
3,5,7
3,5,8
3,5,9
3,5,13
3,5,14
3,5,16
3,6,7
3,6,8
3,6,9
3,6,13
3,6,14
3,6,15
3,7,8
3,7,9
3,7,15
3,7,16
3,7,17
3,8,9
3,8,14
3,8,15
3,8,16
3,9,13
3,9,15
3,9,16
3,13,15
3,13,16
3,14,15
3,14,16
4,5,6
4,5,7
4,5,8
4,5,9
4,5,12
4,5,13
4,5,14
4,6,7
4,6,8
4,6,9
4,6,11
4,6,13
4,6,14
4,7,8
4,7,9
4,7,11
4,7,12
4,7,17
4,8,9
4,8,11
4,8,12
4,8,14
4,9,11
4,9,12
4,9,13
4,11,13
4,11,14
4,12,13
4,12,14
5,6,7
5,6,8
5,6,10
5,6,13
5,7,8
5,7,9
5,7,10
5,7,12
5,7,16
5,8,10
5,8,12
5,8,14
5,8,16
5,9,10
5,9,12
5,9,16
5,10,14
5,12,13
5,12,14
5,13,16
5,14,16
6,7,8
6,7,9
6,7,10
6,7,11
6,7,15
6,8,10
6,9,10
6,10,13
7,8,9
7,8,10
7,8,11
7,8,12
7,8,15
7,8,16
7,9,10
7,9,11
7,9,12
7,9,15
7,9,16
7,10,17
7,11,16
8,9,10
8,10,14
8,11,16
