0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,1,12
0,1,17
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,10
0,2,11
0,2,12
0,2,16
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,10
0,3,11
0,3,12
0,3,15
0,3,17
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,10
0,4,11
0,4,12
0,4,15
0,4,16
0,5,6
0,5,7
0,5,8
0,5,9
0,5,10
0,5,11
0,5,12
0,5,17
0,6,7
0,6,8
0,6,9
0,6,10
0,6,11
0,6,12
0,6,16
0,7,8
0,7,9
0,7,10
0,7,11
0,7,12
0,7,15
0,7,17
0,8,9
0,8,10
0,8,11
0,8,12
0,8,15
0,8,16
0,9,10
0,9,11
0,9,12
0,9,17
0,10,11
0,10,12
0,10,16
0,11,12
0,11,15
0,11,17
0,12,15
0,12,16
0,15,16
0,15,17
0,16,17
1,2,3
1,2,4
1,2,5
1,2,7
1,2,8
1,2,9
1,2,11
1,2,12
1,2,13
1,2,14
1,3,4
1,3,5
1,3,6
1,3,8
1,3,9
1,3,10
1,3,12
1,3,14
1,3,17
1,4,5
1,4,6
1,4,7
1,4,9
1,4,10
1,4,11
1,4,13
1,5,9
1,5,10
1,5,11
1,5,12
1,5,13
1,5,14
1,5,17
1,6,7
1,6,9
1,6,10
1,6,11
1,6,12
1,6,13
1,6,14
1,7,8
1,7,9
1,7,10
1,7,11
1,7,12
1,7,13
1,7,14
1,7,17
1,8,9
1,8,10
1,8,11
1,8,12
1,8,13
1,8,14
1,9,13
1,9,14
1,9,17
1,10,11
1,10,13
1,10,14
1,11,12
1,11,13
1,11,14
1,11,17
1,12,13
1,12,14
1,13,14
1,13,17
1,14,17
2,3,4
2,3,5
2,3,6
2,3,8
2,3,9
2,3,10
2,3,12
2,3,14
2,4,5
2,4,6
2,4,7
2,4,9
2,4,10
2,4,11
2,4,13
2,4,16
2,5,7
2,5,8
2,5,9
2,5,10
2,5,11
2,5,12
2,5,13
2,5,14
2,6,9
2,6,11
2,6,12
2,6,13
2,6,14
2,7,8
2,7,9
2,7,10
2,7,11
2,7,12
2,7,13
2,7,14
2,8,9
2,8,10
2,8,11
2,8,12
2,8,13
2,8,14
2,8,16
2,9,11
2,9,12
2,9,13
2,9,14
2,10,13
2,10,14
2,11,12
2,11,13
2,11,14
2,12,13
2,12,14
2,12,16
2,13,14
2,13,16
2,14,16
3,4,5
3,4,6
3,4,7
3,4,9
3,4,10
3,4,11
3,4,15
3,5,6
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,14
3,5,17
3,6,8
3,6,9
3,6,10
3,6,11
3,6,12
3,6,14
3,7,9
3,7,12
3,7,14
3,8,9
3,8,10
3,8,11
3,8,12
3,8,15
3,9,10
3,9,12
3,9,14
3,9,17
3,10,12
3,10,14
3,11,14
3,12,15
3,14,15
3,15,17
4,5,6
4,5,7
4,5,9
4,5,10
4,5,11
4,5,12
4,5,13
4,6,7
4,6,9
4,6,10
4,6,11
4,6,12
4,6,13
4,6,16
4,7,9
4,7,10
4,7,11
4,7,12
4,7,13
4,7,15
4,8,9
4,9,10
4,9,11
4,9,13
4,10,11
4,10,13
4,10,16
4,11,13
4,11,15
4,13,15
4,15,16
5,6,9
5,6,11
5,6,12
5,6,13
5,6,14
5,7,9
5,7,10
5,7,12
5,7,13
5,7,14
5,7,17
5,8,9
5,8,10
5,8,11
5,8,13
5,8,14
5,9,13
5,9,14
5,9,17
5,10,11
5,10,13
5,10,14
5,11,12
5,11,13
5,11,14
5,11,17
5,12,13
5,12,14
5,13,14
5,13,17
5,14,17
6,7,9
6,7,12
6,7,13
6,7,14
6,8,9
6,8,11
6,8,13
6,8,14
6,9,11
6,9,12
6,9,13
6,9,14
6,10,13
6,10,14
6,11,12
6,11,13
6,11,14
6,12,13
6,12,14
6,12,16
6,13,14
6,13,16
6,14,16
7,8,9
7,8,15
7,9,12
7,9,13
7,9,14
7,9,17
7,10,12
7,10,13
7,10,14
7,11,13
7,11,14
7,12,13
7,12,14
7,12,15
7,13,15
7,14,15
7,15,17
8,9,13
8,9,14
8,10,13
8,10,14
8,11,13
8,11,14
8,11,15
8,12,13
8,13,15
8,14,15
8,15,16
9,10,13
9,10,14
9,11,13
9,11,14
9,11,17
9,12,13
9,12,14
9,13,14
9,13,17
9,14,17
10,11,13
10,11,14
10,12,13
10,12,14
10,13,14
10,13,16
10,14,16
11,12,15
11,13,15
11,14,15
11,15,17
12,13,15
12,14,15
12,15,16
13,14,15
13,14,16
13,14,17
13,15,16
13,15,17
14,15,16
14,15,17
15,16,17
