0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,17
0,1,18
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,10
0,2,15
0,2,16
0,2,17
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,10
0,3,14
0,3,16
0,3,17
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,10
0,4,14
0,4,15
0,4,18
0,5,6
0,5,7
0,5,8
0,5,9
0,5,10
0,5,17
0,5,18
0,6,7
0,6,8
0,6,9
0,6,10
0,6,14
0,6,15
0,6,16
0,6,18
0,7,8
0,7,9
0,7,10
0,7,15
0,7,16
0,7,17
0,8,9
0,8,10
0,8,16
0,8,17
0,9,10
0,9,14
0,9,15
0,9,18
0,10,14
0,10,15
0,10,16
0,10,18
0,14,16
0,14,17
0,15,16
0,15,17
0,16,17
0,16,18
0,17,18
1,2,3
1,2,4
1,2,5
1,2,6
1,2,8
1,2,9
1,2,10
1,2,12
1,2,13
1,2,17
1,3,4
1,3,5
1,3,6
1,3,7
1,3,9
1,3,10
1,3,11
1,3,13
1,3,17
1,4,5
1,4,6
1,4,7
1,4,8
1,4,10
1,4,11
1,4,12
1,4,17
1,4,18
1,5,6
1,5,10
1,5,11
1,5,12
1,5,13
1,5,17
1,5,18
1,6,7
1,6,8
1,6,9
1,6,10
1,6,11
1,6,12
1,6,13
1,6,18
1,7,9
1,7,10
1,7,11
1,7,12
1,7,13
1,7,17
1,8,9
1,8,10
1,8,11
1,8,12
1,8,13
1,8,17
1,9,10
1,9,11
1,9,12
1,9,13
1,9,18
1,10,11
1,10,12
1,10,13
1,10,18
1,11,17
1,12,17
1,13,18
1,17,18
2,3,4
2,3,5
2,3,6
2,3,7
2,3,9
2,3,10
2,3,13
2,3,16
2,3,17
2,4,5
2,4,6
2,4,7
2,4,8
2,4,10
2,4,12
2,4,15
2,4,17
2,5,6
2,5,8
2,5,9
2,5,10
2,5,12
2,5,13
2,5,17
2,6,7
2,6,8
2,6,9
2,6,10
2,6,12
2,6,13
2,6,15
2,6,16
2,7,10
2,7,12
2,7,13
2,7,17
2,8,9
2,8,10
2,8,12
2,8,13
2,8,16
2,8,17
2,9,10
2,9,12
2,9,13
2,9,15
2,10,12
2,10,13
2,10,15
2,10,16
2,12,13
2,12,15
2,12,16
2,12,17
2,13,15
2,13,16
2,15,16
2,15,17
2,16,17
3,4,5
3,4,6
3,4,7
3,4,8
3,4,10
3,4,11
3,4,14
3,4,17
3,5,6
3,5,7
3,5,9
3,5,10
3,5,11
3,5,13
3,5,17
3,6,7
3,6,8
3,6,9
3,6,10
3,6,11
3,6,13
3,6,14
3,6,16
3,7,9
3,7,10
3,7,11
3,7,13
3,7,16
3,7,17
3,8,10
3,8,13
3,8,17
3,9,10
3,9,11
3,9,13
3,9,14
3,10,11
3,10,13
3,10,14
3,10,16
3,11,13
3,11,16
3,11,17
3,13,14
3,13,16
3,14,16
3,14,17
3,16,17
4,5,6
4,5,7
4,5,8
4,5,10
4,5,11
4,5,12
4,5,17
4,5,18
4,6,7
4,6,8
4,6,9
4,6,10
4,6,11
4,6,12
4,6,14
4,6,15
4,6,18
4,7,8
4,7,10
4,7,11
4,7,12
4,7,15
4,7,17
4,8,10
4,8,11
4,8,12
4,8,17
4,10,11
4,10,12
4,10,14
4,10,15
4,10,18
4,11,15
4,11,17
4,12,14
4,12,17
4,14,17
4,15,17
4,17,18
5,6,7
5,6,8
5,6,9
5,6,10
5,6,11
5,6,12
5,6,13
5,6,18
5,7,10
5,7,11
5,7,12
5,7,13
5,7,17
5,8,10
5,8,11
5,8,12
5,8,13
5,8,17
5,9,10
5,9,11
5,9,12
5,9,18
5,10,11
5,10,12
5,10,18
5,11,17
5,12,17
5,13,18
5,17,18
6,7,8
6,7,9
6,7,10
6,7,12
6,7,13
6,7,15
6,7,16
6,8,9
6,8,10
6,8,11
6,8,13
6,8,16
6,9,10
6,9,11
6,9,12
6,9,14
6,9,15
6,9,18
6,10,14
6,10,15
6,10,16
6,11,13
6,11,14
6,11,15
6,11,16
6,12,13
6,12,14
6,12,15
6,12,16
6,13,14
6,13,15
6,13,16
6,13,18
6,14,16
6,15,16
6,16,18
7,8,10
7,8,13
7,8,17
7,9,12
7,9,15
7,10,12
7,10,15
7,10,16
7,11,15
7,11,16
7,12,13
7,12,15
7,12,16
7,12,17
7,13,15
7,13,16
7,15,16
7,15,17
7,16,17
8,10,16
8,11,16
8,11,17
8,12,16
8,13,16
8,16,17
9,10,14
9,10,15
9,10,18
9,11,15
10,11,14
10,11,15
10,11,16
10,12,14
10,12,15
10,12,16
10,14,16
10,15,16
10,16,18
11,13,15
11,14,17
11,15,16
11,15,17
12,14,17
12,15,17
14,16,17
15,16,17
16,17,18
