0,1,2
0,1,3
0,1,4
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,2,3
0,2,4
0,2,5
0,2,7
0,2,8
0,2,9
0,2,10
0,2,11
0,3,4
0,3,5
0,3,6
0,3,8
0,3,10
0,4,8
0,4,9
0,4,10
0,4,11
0,5,6
0,5,7
0,5,8
0,5,9
0,5,10
0,5,11
0,6,7
0,6,8
0,6,9
0,6,10
0,6,11
0,7,8
0,7,10
0,8,9
0,8,10
0,8,11
0,9,10
0,9,11
0,10,11
1,2,3
1,2,4
1,2,5
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,3,4
1,3,5
1,3,6
1,3,8
1,3,10
1,4,6
1,4,7
1,4,8
1,4,9
1,4,10
1,4,11
1,5,8
1,5,9
1,5,10
1,5,11
1,6,7
1,6,8
1,6,9
1,6,10
1,6,11
1,6,12
1,7,8
1,7,10
1,8,10
1,8,11
1,8,12
1,9,10
1,9,11
1,10,11
1,10,12
1,11,12
2,3,4
2,3,5
2,3,6
2,3,8
2,3,10
2,4,5
2,4,7
2,4,8
2,4,9
2,4,10
2,4,11
2,5,7
2,5,8
2,5,9
2,5,10
2,5,11
2,5,12
2,6,8
2,6,9
2,6,10
2,6,11
2,7,8
2,7,10
2,8,9
2,8,10
2,8,11
2,8,12
2,9,10
2,9,12
2,10,12
3,4,8
3,4,10
3,5,8
3,5,10
3,6,8
3,6,10
3,7,8
3,7,10
3,8,10
4,5,8
4,5,10
4,5,11
4,6,8
4,6,9
4,6,10
4,7,8
4,7,10
4,8,9
4,8,10
4,8,11
4,9,10
4,9,11
4,10,11
5,6,8
5,6,10
5,7,10
5,8,10
5,8,11
5,9,10
5,9,11
5,10,11
5,10,12
5,11,12
6,7,8
6,8,9
6,8,10
6,8,11
6,8,12
6,9,10
6,9,12
7,8,10
8,9,10
8,9,11
8,9,12
8,10,11
8,10,12
8,11,12
9,10,11
9,10,12
9,11,12
10,11,12
