0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,13
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,10
0,2,12
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,10
0,3,11
0,3,12
0,3,13
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,10
0,4,12
0,4,13
0,5,6
0,5,7
0,5,8
0,5,9
0,5,10
0,5,12
0,5,13
0,6,7
0,6,8
0,6,9
0,6,10
0,6,13
0,7,8
0,7,9
0,7,10
0,7,12
0,8,9
0,8,10
0,8,11
0,9,10
0,10,11
1,2,3
1,2,4
1,2,6
1,2,8
1,2,9
1,2,10
1,3,4
1,3,5
1,3,6
1,3,7
1,3,8
1,3,9
1,3,10
1,3,12
1,3,13
1,4,6
1,4,7
1,4,8
1,4,9
1,4,10
1,4,12
1,4,13
1,5,6
1,5,7
1,5,8
1,5,9
1,5,10
1,5,12
1,5,13
1,6,8
1,6,9
1,6,10
1,6,13
1,7,8
1,7,10
1,8,10
1,9,10
2,3,4
2,3,5
2,3,6
2,3,7
2,3,8
2,3,9
2,3,10
2,3,12
2,3,13
2,4,6
2,4,7
2,4,8
2,4,9
2,4,10
2,4,12
2,4,13
2,5,6
2,6,8
2,6,9
2,6,10
2,6,13
2,7,10
2,8,10
2,9,10
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,10
3,4,13
3,5,6
3,5,7
3,5,8
3,5,9
3,5,10
3,5,12
3,6,7
3,6,8
3,6,9
3,6,10
3,6,13
3,7,8
3,7,9
3,7,10
3,7,12
3,8,9
3,8,10
3,8,11
3,9,10
3,9,11
4,5,6
4,5,8
4,5,9
4,5,10
4,6,8
4,6,9
4,6,10
4,6,13
4,7,8
4,7,9
4,8,9
5,6,8
5,6,9
5,6,10
5,6,13
5,7,9
5,8,9
6,7,8
6,7,9
6,7,10
6,9,10
7,9,10
8,9,10
9,10,11
