0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,13
0,1,14
0,1,15
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,10
0,2,13
0,2,14
0,2,15
0,2,17
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,10
0,3,13
0,3,14
0,3,15
0,3,16
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,10
0,4,16
0,4,17
0,5,6
0,5,7
0,5,8
0,5,9
0,5,10
0,5,14
0,5,15
0,6,7
0,6,8
0,6,9
0,6,10
0,6,13
0,6,15
0,6,17
0,7,8
0,7,9
0,7,10
0,7,13
0,7,14
0,7,16
0,8,9
0,8,10
0,8,13
0,8,16
0,8,17
0,9,10
0,9,13
0,9,15
0,9,16
0,9,17
0,10,13
0,10,14
0,10,16
0,10,17
0,14,15
0,14,17
0,15,16
0,16,17
1,2,3
1,2,4
1,2,5
1,2,7
1,2,8
1,2,9
1,2,10
1,2,12
1,2,13
1,2,15
1,3,4
1,3,5
1,3,6
1,3,8
1,3,9
1,3,10
1,3,11
1,3,13
1,3,14
1,4,5
1,4,6
1,4,7
1,4,8
1,4,9
1,4,10
1,4,11
1,4,12
1,5,8
1,5,9
1,5,10
1,5,11
1,5,12
1,5,14
1,5,15
1,6,7
1,6,8
1,6,9
1,6,10
1,6,11
1,6,12
1,6,15
1,7,8
1,7,9
1,7,10
1,7,11
1,7,12
1,7,14
1,8,9
1,8,10
1,8,11
1,8,12
1,8,13
1,9,10
1,9,11
1,9,12
1,9,13
1,9,15
1,10,11
1,10,12
1,10,13
1,10,14
1,11,13
1,11,14
1,11,15
1,12,13
1,12,14
1,12,15
1,14,15
2,3,4
2,3,5
2,3,8
2,3,9
2,3,13
2,4,5
2,4,6
2,4,7
2,4,8
2,4,9
2,4,10
2,4,12
2,4,17
2,5,7
2,5,8
2,5,9
2,5,10
2,5,12
2,5,14
2,5,15
2,6,8
2,6,9
2,6,10
2,6,15
2,7,8
2,7,9
2,7,10
2,8,9
2,8,10
2,8,12
2,8,13
2,8,17
2,9,12
2,9,13
2,9,15
2,9,17
2,12,13
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,10
3,4,11
3,4,16
3,5,6
3,5,8
3,5,9
3,5,10
3,5,11
3,5,14
3,5,15
3,6,8
3,6,9
3,6,10
3,6,13
3,7,8
3,8,9
3,8,10
3,8,11
3,8,13
3,8,16
3,9,11
3,9,13
3,9,16
3,11,13
4,5,6
4,5,7
4,5,8
4,5,9
4,5,10
4,5,11
4,5,12
4,6,7
4,6,8
4,6,10
4,6,11
4,6,12
4,6,17
4,7,8
4,7,9
4,7,11
4,7,12
4,7,16
4,8,11
4,8,12
4,8,16
4,8,17
4,9,10
4,9,11
4,9,12
4,9,16
4,9,17
4,10,11
4,10,12
4,10,16
4,10,17
4,11,16
4,11,17
4,12,16
4,12,17
5,6,8
5,6,9
5,6,10
5,6,11
5,6,12
5,6,15
5,7,8
5,7,9
5,7,10
5,7,11
5,7,12
5,7,14
5,8,9
5,8,10
5,8,11
5,8,12
5,9,10
5,9,11
5,9,12
5,9,15
5,10,11
5,10,12
5,11,14
5,11,15
5,12,14
5,12,15
6,7,8
6,8,10
6,8,11
6,8,12
6,8,13
6,8,17
6,9,11
6,9,12
6,10,11
6,10,12
6,11,13
6,11,15
6,12,13
6,12,15
7,8,9
7,8,11
7,8,12
7,8,13
7,9,11
7,10,11
7,11,13
8,9,11
8,9,12
8,9,17
8,10,11
8,10,12
8,10,16
8,11,13
8,11,16
8,11,17
8,12,13
8,12,16
8,12,17
9,11,13
9,11,15
9,11,16
9,11,17
9,12,13
9,12,16
9,12,17
10,11,13
10,11,16
